Country,Population,Percentage of World Population,Total Area (km2),Percentage Water,Total Nominal GDP,Per Capita GDP
 China,"1,399,660,000",18.1,9,2.8,14216000000000,10153
 India,"1,353,850,000",17.5,3,9.6,2972000000000,2199
 United States,"330,110,000",4.26,9833523,6.97,20580000000000,62869
 Brazil,"210,617,000",2.72,8,0.65,1847000000000,8797
 Pakistan,"206,426,000",2.67,881,2.86,278019000000,1357
 Nigeria,"200,963,599",2.60,923,1.4,447013000000,2244
 Bangladesh,"167,455,000",2.16,147,6.4,314656000000,1888
 Russia,"146,793,744",1.90,17,13,1638000000000,11163
 Mexico,"126,577,691",1.63,1,2.5,1222000000000,9796
 Japan,"126,140,000",1.63,377,3.55,5176000000000,41021
 Philippines,"108,413,000",1.4,300,0.61,354000000000,3246
 Egypt,"99,467,300",1.28,1,0.632,300000000000,3019
 Ethiopia,"98,665,000",1.27,1,0.7,90968000000,951
 Vietnam,"96,208,984",1.24,331,6.38,260301000000,2726
 Democratic Republic of the Congo,"86,790,567",1.12,2,3.32,46117000000,501
 Iran,"82,886,400",1.07,1,7.07,484000000000,5820
 Turkey,"82,003,882",1.06,783,1.3,743708000000,8958
 United Kingdom,"66,435,600",0.858,242,1.34,2829000000000,42580
 Thailand,"66,425,400",0.858,513,0.4,516000000000,7607
 Italy,"60,278,616",0.779,301,2.4,2025999999999,33353
 South Africa,"58,775,022",0.759,1,0.380,371298000000,6331
 Tanzania,"55,890,747",0.722,947,6.4,61032000000,1172
 Myanmar,"54,339,766",0.702,676,3.06,71543000000,1354
 Kenya,"52,573,973",0.679,580,2.3,99246000000,2010
 South Korea,"51,811,167",0.669,100,0.3,1699000000000,32766
 Colombia,"48,258,494",0.623,1,8.8,355163000000,7049
 Spain,"46,934,632",0.606,505,1.04,1583000000000,34281
 Argentina,"44,938,712",0.580,2,1.57,477743000000,10604
 Algeria,"43,378,027",0.560,2,1.1,180687000000,4229
 Ukraine,"41,976,189",0.542,603,7,134887000000,3220
 Uganda,"40,006,700",0.517,241,15.39,30765000000,769
 Iraq,"39,127,900",0.505,437,1.1,250070000000,6116
 Poland,"38,386,000",0.496,312,3.07,566000000000,14902
 Canada,"37,788,400",0.488,9,8.92,1820000000000,48601
 Morocco,"35,699,500",0.461,710,0.056,122458000000,3441
 Saudi Arabia,"34,218,169",0.442,2,0.7,762259000000,23566
